n_mels,groups,num_parameters,flops,best_val_accuracy,test_accuracy,test_loss,mean_epoch_time_sec,steady_state_epoch_time_sec
20,1,48930,7279266,0.9838107098381071,0.9878640776699029,0.0358817625103645,6.862882682998316,6.075882114248088
20,2,26274,3642786,0.9601494396014943,0.9599514563106796,0.11120266199690625,6.387868983400404,5.770538885499263
20,4,14946,1824546,0.9701120797011208,0.9563106796116505,0.0994605761997908,6.375966083400999,5.789508645750175
40,1,55330,8572066,0.9775840597758406,0.9805825242718447,0.07549087151668026,6.466099266597302,5.8676058852470305
40,2,29474,4289186,0.9850560398505604,0.9793689320388349,0.05976078680996756,6.575385099599953,5.984781916249631
40,4,16546,2147746,0.9613947696139477,0.9745145631067961,0.0736334166914514,6.561791091793566,5.96268616699308
40,8,10082,1077026,0.9613947696139477,0.9514563106796117,0.11658139382172557,6.5183943920041205,5.934174750254897
80,1,68130,11157666,0.9788293897882939,0.9769417475728155,0.08103756827202815,6.53302781659877,5.96262498950091
80,2,35874,5581986,0.9551681195516812,0.9453883495145631,0.18300726177912313,6.52019636699697,5.928801198246219
80,4,19746,2794146,0.962640099626401,0.9745145631067961,0.0705947851382413,6.501952416403219,5.92035457275415
80,8,11682,1400226,0.9489414694894147,0.941747572815534,0.13307717688454007,6.570590691801044,5.9788309897485306
80,16,7650,703266,0.9327521793275217,0.9550970873786407,0.137572890635833,6.535141341603594,5.957230354004423
